Date,Open,High,Low,Close,Volume
2016-04-28,64.3428,64.7992,63.9624,64.6301,4383000
2016-04-29,64.6724,64.6724,63.4806,63.844,3386600
2016-05-02,64.1991,65.1542,64.0807,64.8753,3571900
2016-05-03,64.5287,64.7908,63.8948,64.4527,3270700
2016-05-04,63.5398,63.9201,63.0833,63.2862,4176800
2016-05-05,63.1594,63.7257,63.0157,63.6243,3446400
2016-05-06,63.1594,63.3538,61.9929,63.058,4196900
2016-05-09,63.2101,64.1568,63.1932,63.8948,2963200
2016-05-10,64.4865,65.1965,64.2836,64.9852,4366000
2016-05-11,64.6448,65.5723,64.5342,64.9341,3716300
2016-05-12,65.283,65.4702,64.1258,64.6363,4081900
2016-05-13,64.5172,65.5638,64.3044,64.9511,3629700
2016-05-16,64.6533,66.7721,64.5342,66.6189,4580100
2016-05-17,66.5509,66.9764,64.2619,65.0022,7153300
2016-05-18,65.0107,65.3936,64.3385,64.9511,4664900
2016-05-19,63.9215,64.0151,62.7473,63.2323,4848800
2016-05-20,63.6407,64.2789,63.5471,63.6577,4689200
2016-05-23,63.8194,63.9385,62.9004,63.0366,4440500
2016-05-24,63.4365,63.9896,63.2748,63.8109,3711800
2016-05-25,64.2364,64.2449,63.3514,63.428,4621700
2016-05-26,63.479,64.33,63.1982,64.2619,2654600
2016-05-27,64.2619,64.4321,63.5386,63.8109,3247500
2016-05-31,63.8279,64.3555,63.5726,63.8449,4438800
2016-06-01,63.7343,64.1938,63.5471,63.7684,2450200
2016-06-02,64.0066,64.398,63.7343,64.2108,3231000
2016-06-03,64.2449,64.33,63.1812,63.9215,5319000
2016-06-06,63.913,64.2449,63.1387,63.6833,3253800
2016-06-07,63.4961,63.862,63.4025,63.5641,2902900
2016-06-08,63.5301,63.896,63.3089,63.7428,3194900
2016-06-09,63.6237,64.2789,63.1727,63.3344,2760500
2016-06-10,63.0451,63.1302,62.2622,62.9259,4124200
2016-06-13,63.0366,63.7939,62.6877,62.8494,3767000
2016-06-14,62.5771,63.2833,62.1686,63.2408,3691900
2016-06-15,63.5897,63.7258,62.6366,62.7217,3408900
2016-06-16,62.5175,63.3684,62.075,63.1812,4788700
2016-06-17,63.5216,63.8875,62.5175,62.8494,6604900
2016-06-20,63.3514,63.5641,62.3048,62.3558,3640100
2016-06-21,62.7132,62.7983,61.7176,61.7517,5999200
2016-06-22,61.6921,62.8919,61.6921,62.1771,4410800
2016-06-23,62.6196,62.9174,62.2877,62.9174,2989700
2016-06-24,61.6496,63.9215,61.156,63.2493,10471300
2016-06-27,63.0196,63.879,62.2878,63.7258,7657800
2016-06-28,63.93,64.8831,62.7557,63.947,8012300
2016-06-29,64.5682,66.5764,64.5597,66.4998,7123700
2016-06-30,66.5424,67.0614,65.9127,67.0104,4017200
2016-07-01,67.1295,67.5039,66.687,67.1805,2909600
2016-07-05,67.0614,67.9889,67.0104,67.7677,3286600
2016-07-06,67.4954,68.4144,67.3082,68.0911,4669800
2016-07-07,67.9294,68.1166,66.9253,67.4954,3587300
2016-07-08,67.4954,67.9889,67.1636,67.7847,3134900
2016-07-11,67.6826,67.8783,67.1806,67.3422,3461400
2016-07-12,67.7592,67.9379,67.1976,67.7932,4430000
2016-07-13,67.9975,68.0996,67.5039,67.5294,2917200
2016-07-14,67.6486,68.6612,67.5635,68.5761,3823800
2016-07-15,68.9079,68.925,68.023,68.2612,4529100
2016-07-18,68.3889,68.5761,67.9549,68.0315,3087600
2016-07-19,67.9464,68.2868,67.7167,68.0485,3303700
2016-07-20,68.3038,68.5165,68.0655,68.3123,2811100
2016-07-21,68.2442,68.5846,68.0911,68.4144,2685900
2016-07-22,68.4144,69.5292,68.3123,69.427,4315900
